"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
"ILMN_1651498",3177.25925699283,-2.35823547474346,0.568095391159573,-4.15112586977677,3.30843742659472e-05,0.00163633361798385,"GADD45G"
"ILMN_1651838",2099.42403148124,-2.25276166566136,0.458222202547335,-4.91630840482603,8.81914266770788e-07,0.000115324271947924,"RND1"
"ILMN_1652464",994.162890536417,-2.05476296129274,0.509094447475849,-4.03611347851169,5.43439386512476e-05,0.00225510520653869,"TUBA3E"
"ILMN_1652866",961.950588639656,-2.14864986722696,0.555177397624121,-3.87020414811932,0.000108744252636984,0.00367604940786838,"LMX1B"
"ILMN_1653447",1787.75047538076,-2.34394902318456,0.68497054595771,-3.42197053145884,0.00062169051251052,0.0117034112140938,"PSORS1C2"
"ILMN_1656812",1147.06224379968,-2.56844445098864,0.660839404487781,-3.88663937644495,0.000101641578314463,0.00349010581918982,"NMRK2"
"ILMN_1657148",820.725505761105,-2.20774918297981,0.481848079582424,-4.58183663384748,4.60909908200011e-06,0.000382801196322681,"CIRBP-AS1"
"ILMN_1658632",1143.86538740661,-2.04627469147159,0.554627064132675,-3.68946058316059,0.000224730042464456,0.00594702689866206,"NLRP7"
"ILMN_1660086",5790.08257684363,-2.10902286708306,0.604036489763483,-3.49154877697682,0.000480228771838016,0.00998149416236947,"MYH11"
"ILMN_1661178",464.022782770268,-2.22620182162212,0.284944705242657,-7.81275026579738,5.59533937612083e-15,1.66660291839635e-11,"NR4A1"
"ILMN_1661197",1037.7842685429,-2.00420595467684,0.378185310921813,-5.29953410879883,1.16098546656894e-07,2.13168064399408e-05,"CLCF1"
"ILMN_1665372",1038.49927397275,-2.1762830639089,0.533952938578083,-4.0757956491528,4.58572774679625e-05,0.00203189427617136,"FXYD3"
"ILMN_1665471",1384.72846941789,2.04960363905216,0.377046246640042,5.43594759878056,5.45059730723006e-08,1.15963620646759e-05,"MAB21L4"
"ILMN_1669523",8957.97781657761,-2.824242062997,0.567869700128106,-4.97339805656099,6.57893773674193e-07,8.99964828729217e-05,"FOS"
"ILMN_1670019",2359.25911505591,2.3648874218226,0.350985208135507,6.73785494945863,1.60741911037319e-11,1.53893157470622e-08,"PEG10"
"ILMN_1672148",2819.71619204458,2.91312237831674,0.482600940892541,6.03629651639115,1.57691377529582e-09,6.70989326577063e-07,"AKR1B10"
"ILMN_1672295",1456.44285574059,-2.4743107682196,0.413143098187094,-5.9889921411663,2.11145364817752e-09,8.20315042705721e-07,"ZC3H12A"
"ILMN_1673566",3074.19855546551,-2.35121444072701,0.350885880978777,-6.70079523909148,2.07288333965013e-11,1.91613047193107e-08,"ADAMTS1"
"ILMN_1674353",1550.52892838582,-2.16300189175514,0.56919247932481,-3.80012380754037,0.000144623814391356,0.00437897060891228,"MIOX"
"ILMN_1680139",636.634674796742,-2.01357991023331,0.316504882615105,-6.36192368849481,1.99242432593109e-10,1.13640252989861e-07,"MAFF"
"ILMN_1680399",1433.82397830489,-2.00335358761624,0.497473622513717,-4.02705489688753,5.64798493275244e-05,0.00230801115994352,"KAZN"
"ILMN_1680618",2919.90918592639,-2.81156369039778,0.431878172394058,-6.51008518168968,7.51082016811149e-11,5.29848832227802e-08,"MYC"
"ILMN_1682599",1023.85111617793,-2.07863296066295,0.378419017998147,-5.49293999984198,3.95297121576316e-08,9.13511201560027e-06,"GPRC5A"
"ILMN_1684401",2863.82040030892,2.77160226547933,0.335943878172698,8.25019429005501,1.58137215190464e-16,7.06530721268462e-13,"FMO1"
"ILMN_1687481",800.760542289806,-2.05780060032559,0.467811281702599,-4.3987836138458,1.08859298248786e-05,0.000718766307427389,"HIF3A"
"ILMN_1690253",1955.49566519301,-2.03007578860487,0.699749623272968,-2.90114595433366,0.0037180065871161,0.0345831376061142,"SYNPO2L"
"ILMN_1691881",1486.08048890421,-2.03717527539984,0.278116110612954,-7.32490926509079,2.39060406013369e-13,4.27232820266692e-10,"IL4R"
"ILMN_1692280",1059.14279087814,-2.28291796067775,0.578795414985773,-3.94425716163261,8.00477224772996e-05,0.00297207658787946,"NKX2-2"
"ILMN_1692332",1458.72186310057,-2.47834843489321,0.730504838404624,-3.39265163569042,0.000692196080881406,0.0123699618376929,"ALOX12B"
"ILMN_1694034",3188.78542694185,2.10449841088502,0.364378974074881,5.77557587187382,7.6690332056691e-09,2.40569146368274e-06,"LGALS4"
"ILMN_1694472",4282.31069099472,3.0537816538872,0.647164641721907,4.71870905332841,2.37345982966689e-06,0.000241908136208586,"GCK"
"ILMN_1696666",986.775839522204,-2.10863392962652,0.533190641277276,-3.9547467010584,7.66157793292512e-05,0.00288933870480319,"DBF4B"
"ILMN_1697499",7691.18588409366,-4.01307822872473,0.727835492760571,-5.51371603699035,3.51335299423419e-08,8.48490574021945e-06,"HLA-DRB5"
"ILMN_1698846",1249.99829993466,-2.29790548771497,0.550502601312172,-4.17419551195164,2.99040870517319e-05,0.00150967770545344,"SLC8A2"
"ILMN_1699651",1850.13434753629,-3.59243389045506,0.748549920740526,-4.79919079665539,1.59307976304495e-06,0.00018040788892793,"IL6"
"ILMN_1706186",965.538486130424,-2.10084987246309,0.516377877136694,-4.06843508500455,4.73299427855593e-05,0.00206977777528954,"PIANP"
"ILMN_1711331",1276.04495968006,-2.05315814120465,0.496497598172481,-4.13528312878442,3.54517277000171e-05,0.00171235038640425,"MAP1LC3C"
"ILMN_1712506",1206.59429798908,-2.16859994070159,0.528102974401488,-4.10639599816554,4.01880281573099e-05,0.00186387624708133,"DPP6"
